,Siruta,Localitate,Venituri,Cheltuieli
795,51699,Buchin,298603,749713
796,51751,Bucosnita,301605,719168
797,51804,Carasova,428879,742735
798,51840,Carbunari,299698,752406
799,51877,Constantin Daicoviciu,302700,721861
800,51948,Ciclova Romana,429974,745428
801,51984,Ciuchici,300793,755099
802,52035,Ciudanovita,303795,724554
803,52062,Copacele,431069,748121
804,52115,Cornea,301888,757792
805,52160,Cornereva,304890,727247
806,52570,Dalboset,432164,750814
807,52650,Doclin,302983,760485
808,52696,Dognecea,305985,729940
809,52721,Domasnea,433259,753507
810,52758,Ezeris,304078,763178
811,52785,Farliug,307080,732633
812,52856,Forotic,434354,756200
813,52909,Garnic,305173,765871
814,52936,Glimboca,308175,735326
815,52954,Goruia,435449,758893
816,52990,Gradinari,306268,768564
817,53023,Iablanita,309270,738019
818,53069,Lapusnicel,436544,761586
819,53103,Lapusnicu Mare,307363,771257
820,53130,Luncavita,310365,740712
821,53167,Lupac,437639,764279
822,53210,Marga,308458,773950
823,53247,Maureni,311460,743405
824,53274,Mehadia,438734,766972
825,53327,Mehadica,309553,776643
826,53345,Naidas,312555,746098
827,53372,Obreja,439829,769665
828,53425,Paltinis,310648,779336
829,53489,Coronini,313650,748791
830,53513,Pojejena,440924,772358
831,53577,Prigor,311743,782029
832,53639,Ramna,314745,751484
833,53675,Racasdia,442019,775051
834,53700,Eftimie Murgu,312838,784722
835,53728,Rusca Montana,315840,754177
836,53755,Sacu,443114,777744
837,53791,Sasca Montana,313933,787415
838,53853,Sichevita,316935,756870
839,54056,Slatina-Timis,444209,780437
840,54109,Socol,315028,790108
841,54163,Sopotu Nou,318030,759563
842,54270,Teregova,445304,783130
843,54305,Ticvaniu Mare,316123,792801
844,54350,Tarnova,319125,762256
845,54387,Toplet,446399,785823
846,54412,Turnu Ruieni,317218,795494
847,54485,Valiug,320220,764949
848,54500,Varadia,447494,788516
849,54537,Vermes,318313,798187
850,54573,Vrani,321315,767642
851,54617,Zavoi,448589,791209
852,54699,Zorlentu Mare,319408,800880
853,54975,Municipiul Cluj-Napoca,322410,770335
854,55008,Municipiul Dej,449684,793902
855,55062,Cuzdrioara,320503,803573
856,55106,Jichisu De Jos,323505,773028
857,55160,Mica,450779,796595
858,55259,Municipiul Turda,321598,806266
859,55277,Mihai Viteazu,324600,775721
860,55311,Sandulesti,451874,799288
861,55357,Municipiul Campia Turzii,322693,808959
862,55384,Municipiul Gherla,325695,778414
863,55446,Oras Huedin,452969,801981
864,55473,Aghiresu,323788,811652
865,55598,Aiton,326790,781107
866,55623,Alunis,454064,804674
867,55687,Apahida,324883,814345
868,55776,Aschileu,327885,783800
869,55838,Baciu,455159,807367
870,55918,Baisoara,325978,817038
871,56014,Belis,328980,786493
872,56096,Bobalna,456254,810060
873,56210,Bontida,327073,819731
874,56265,Borsa,330075,789186
875,56327,Buza,457349,812753
876,56354,Caianu,328168,822424
877,56425,Calarasi,331170,791879
878,56461,Calatele,458444,815446
879,56522,Camarasu,329263,825117
880,56568,Capusu Mare,332265,794572
881,56666,Caseiu,459539,818139
882,56773,Catina,330358,827810
883,56844,Ceanu Mare,333360,797265
884,56988,Chinteni,460634,820832
885,57083,Chiuiesti,331453,830503
886,57163,Ciucea,334455,799958
887,57225,Ciurila,461729,823525
888,57314,Catcau,332548,833196
889,57350,Cojocna,335550,802651
890,57449,Cornesti,462824,826218
891,57546,Dabaca,333643,835889
892,57582,Feleacu,336645,805344
893,57644,Fizesu Gherlii,463919,828911
894,57706,Floresti,334738,838582
895,57742,Frata,337740,808037
896,57831,Geaca,465014,831604
897,57902,Gilau,335833,841275
898,57948,Garbau,338835,810730
899,58008,Iara,466109,834297
900,58142,Iclod,336928,843968
901,58204,Izvoru Crisului,339930,813423
902,58259,Jucu,467204,836990
903,58311,Luna,338023,846661
904,58357,Maguri-Racatau,341025,816116
905,58393,Manastireni,468299,839683
906,58464,Margau,339118,849354
907,58534,Marisel,342120,818809
908,58552,Mintiu Gherlii,469394,842376
909,58623,Mociu,340213,852047
910,58721,Moldovenesti,343215,821502
911,58794,Palatca,470489,845069
912,58856,Panticeu,341308,854740
913,58918,Petrestii De Jos,344310,824195
914,58990,Ploscos,471584,847762
915,59041,Poieni,342403,857433
916,59130,Recea-Cristur,345405,826888
917,59238,Risca,472679,850455
918,59283,Sacuieu,343498,860126
919,59327,Savadisla,346500,829581
920,59416,Sic,473774,853148
921,59434,Sancraiu,344593,862819
922,59498,Sanmartin,347595,832274
923,59586,Sanpaul,474869,855841
924,59657,Suatu,345688,865512
925,59693,Tritenii De Jos,348690,834967
926,59764,Tureni,475964,858534
927,59826,Taga,346783,868205
928,59880,Unguras,349785,837660
929,59942,Vad,477059,861227
930,60026,Valea Ierii,347878,870898
931,60062,Viisoara,350880,840353
932,60099,Vultureni,478154,863920
933,60169,Negreni,348973,873591
934,60419,Municipiul Constanta,351975,843046
935,60455,Oras Eforie,479249,866613
936,60482,Municipiul Mangalia,350068,876284
937,60507,Oras Navodari,353070,845739
938,60534,Oras Techirghiol,480344,869306
939,60570,Agigea,351163,878977
940,60598,23-Aug,354165,848432
941,60632,Limanu,481439,871999
942,60687,Oras Ovidiu,352258,881670
943,60721,Tuzla,355260,851125
944,60776,Oras Cernavoda,482534,874692
945,60801,Oras Harsova,353353,884363
946,60847,Municipiul Medgidia,356355,853818
947,60883,Adamclisi,483629,877385
948,60945,Albesti,354448,887056
949,61005,Aliman,357450,856511
950,61069,Oras Baneasa,484724,880078
951,61121,Castelu,355543,889749
952,61167,Cerchezu,358545,859204
953,61210,Chirnogeni,485819,882771
954,61256,Ciobanu,356638,892442
955,61283,Ciocarlia,359640,861897
956,61318,Cobadin,486914,885464
957,61372,Cogealac,357733,895135
958,61452,Comana,360735,864590
959,61513,Corbu,488009,888157
960,61559,Crucea,358828,897828
961,61620,Cumpana,361830,867283
962,61675,Deleni,489104,890850
963,61737,Dobromir,359923,900521
964,61808,Garliciu,362925,869976
965,61826,Ghindaresti,490199,893543
966,61871,Independenta,361018,903214
967,61951,Ion Corvin,364020,872669
968,62020,Istria,491294,896236
969,62057,Lipnita,362113,905907
970,62137,Mereni,365115,875362
971,62191,Mihail Kogalniceanu,492389,898929
972,62253,Mihai Viteazu,363208,908600
973,62280,Mircea Voda,366210,878055
974,62360,Oras Murfatlar,493484,901622
975,62397,Oras Negru Voda,364303,911293
976,62440,Nicolae Balcescu,367305,880748
977,62486,Oltina,494579,904315
978,62538,Ostrov,365398,913986
979,62609,Pantelimon,368400,883441
980,62672,Pecineaga,495674,907008
981,62707,Pestera,366493,916679
982,62761,Poarta Alba,369495,886134
983,62798,Rasova,496769,909701
984,62823,Saraiu,367588,919372
985,62878,Sacele,370590,888827
986,62903,Seimeni,497864,912394
987,62949,Silistea,368683,922065
988,62985,Targusor,371685,891520
989,63045,Topalu,498959,915087
990,63072,Topraisar,369778,924758
991,63125,Valu Lui Traian,372780,894213
992,63152,Lumina,500054,917780
993,63161,Dumbraveni,370873,927451
994,63170,Vulturu,373875,896906
995,63189,Tortoman,501149,920473
996,63198,Amzacea,371968,930144
997,63278,Horia,374970,899599
998,63286,Costinesti,502244,923166
999,63294,Baraganu,373063,932837
1000,63300,Cuza Voda,376065,902292
1001,63318,Saligny,503339,925859
1002,63326,Gradina,374158,935530
1003,63334,Fantanele,377160,904985
1004,63394,Municipiul Sfantu Gheorghe,504434,928552
1005,63447,Oras Baraolt,375253,938223
1006,63526,Oras Covasna,378255,907678
1007,63553,Comandau,505529,931245
1008,63580,Oras Intorsura Buzaului,376348,940916
1009,63633,Barcani,379350,910371
1010,63688,Sita Buzaului,506624,933938
1011,63740,Municipiul Targu Secuiesc,377443,943609
1012,63777,Aita Mare,380445,913064
1013,63802,Batani,507719,936631
1014,63866,Belin,378538,946302
1015,63893,Bodoc,381540,915757
1016,63937,Borosneu Mare,508814,939324
1017,64005,Brates,379633,948995
1018,64041,Bradut,382635,918450
1019,64096,Bretcu,509909,942017
1020,64130,Catalina,380728,951688
1021,64194,Cernat,383730,921143
1022,64238,Chichis,511004,944710
1023,64265,Dobarlau,381823,954381
1024,64318,Ghelinta,384825,923836
1025,64345,Ghidfalau,512099,947403
1026,64390,Haghig,382918,957074
1027,64425,Ilieni,385920,926529
1028,64461,Lemnia,513194,950096
1029,64504,Malnas,384013,959767
1030,64568,Moacsa,387015,929222
1031,64602,Ojdula,514289,952789
1032,64639,Ozun,385108,962460
1033,64719,Poian,388110,931915
1034,64773,Reci,515384,955482
1035,64826,Sanzieni,386203,965153
1036,64871,Turia,389205,934608
1037,64906,Valea Crisului,516479,958175
1038,64942,Valcele,387298,967846
1039,64997,Varghis,390300,937301
1040,65011,Zagon,517574,960868
1041,65048,Zabala,388393,970539
1042,65099,Valea Mare,391395,939994
1043,65105,Mereni,518669,963561
1044,65113,Arcus,389488,973232
1045,65121,Bixad,392490,942687
1046,65139,Micfalau,519764,966254
1047,65147,Dalnic,390583,975925
1048,65154,Estelnic,393585,945380
1049,65342,Municipiul Targoviste,520859,968947
1050,65379,Aninoasa,391678,978618
1051,65413,Doicesti,394680,948073
1052,65431,Razvad,521954,971640
1053,65477,Sotanga,392773,981311
1054,65501,Ulmi,395775,950766
1055,65609,Oras Fieni,523049,974333
1056,65645,Motaieni,393868,984004
1057,65681,Oras Gaesti,396870,953459
1058,65707,Gura Foii,524144,977026
1059,65752,Petresti,394963,986697
1060,65841,Municipiul Moreni,397965,956152
1061,65869,Iedera,525239,979719
1062,65921,Oras Pucioasa,396058,989390
1063,66009,Branesti,399060,958845
1064,66081,Oras Titu,526334,982412
1065,66152,Branistea,397153,992083
1066,66198,Baleni,400155,961538
1067,66223,Barbuletu,527429,985105
1068,66330,Bezdead,398248,994776
1069,66401,Bilciuresti,401250,964231
1070,66438,Buciumeni,528524,987798
1071,66474,Bucsani,399343,997469
1072,66526,Candesti,402345,966924
1073,66580,Cobia,529619,990491
1074,66697,Cojasca,400438,1000162
1075,66731,Comisani,403440,969617
1076,66768,Contesti,530714,993184
1077,66857,Corbii Mari,401533,1002855
1078,66955,Cornatelu,404535,972310
1079,67014,Cornesti,531809,995877
1080,67121,Costestii Din Vale,402628,1005548
1081,67167,Crangurile,405630,975003
1082,67256,Darmanesti,532904,998570
1083,67292,Dobra,403723,1008241
1084,67327,Dragodana,406725,977696
1085,67407,Dragomiresti,533999,1001263
1086,67470,Finta,404818,1010934
1087,67522,Glodeni,407820,980389
1088,67595,Gura Ocnitei,535094,1003956
1089,67648,Gura Sutii,405913,1013627
1090,67675,Hulubesti,408915,983082
1091,67737,I. L. Caragiale,536189,1006649
1092,67773,Lucieni,407008,1016320
1093,67835,Ludesti,410010,985775
1094,67906,Lunguletu,537284,1009342
1095,67942,Malu Cu Flori,408103,1019013
1096,68002,Manesti,411105,988468
1097,68048,Matasaru,538379,1012035
1098,68128,Mogosani,409198,1021706
1099,68182,Moroeni,412200,991161
1100,68253,Morteni,539474,1014728
1101,68280,Nucet,410293,1024399
1102,68324,Ocnita,413295,993854
1103,68342,Odobesti,540569,1017421
1104,68404,Pietrosita,411388,1027092
1105,68431,Poiana,414390,996547
1106,68468,Potlogi,541664,1020114
1107,68529,Produlesti,412483,1029785
1108,68565,Pucheni,415485,999240
1109,68627,Oras Racari,542759,1022807
1110,68716,Runcu,413578,1032478
1111,68789,Salcioara,416580,1001933
1112,68887,Selaru,543854,1025500
1113,68921,Tatarani,414673,1035171
1114,68976,Uliesti,417675,1004626
1115,69063,Valea Lunga,544949,1028193
1116,69170,Valea Mare,415768,1037864
1117,69250,Vacaresti,418770,1007319
1118,69303,Valeni-Dambovita,546044,1030886
1119,69330,Visina,416863,1040557
1120,69394,Visinesti,419865,1010012
1121,69447,Varfuri,547139,1033579
1122,69526,Voinesti,417958,1043250
1123,69615,Vulcana-Bai,420960,1012705
1124,69900,Municipiul Craiova,548234,1036272
1125,69964,Bucovat,419053,1045943
1126,70094,Isalnita,422055,1015398
1127,70110,Podari,549329,1038965
1128,70174,Simnicu De Sus,420148,1048636
1129,70316,Municipiul Bailesti,423150,1018091
1130,70352,Municipiul Calafat,550424,1041658
1131,70414,Oras Filiasi,421243,1051329
1132,70502,Oras Segarcea,424245,1020784
1133,70520,Afumati,551519,1044351
1134,70566,Almaj,422338,1054022
1135,70637,Amarastii De Jos,425340,1023477
1136,70673,Amarastii De Sus,552614,1047044
1137,70726,Apele Vii,423433,1056715
1138,70744,Argetoaia,426435,1026170
1139,70879,Oras Bechet,553709,1049737
1140,70897,Bistret,424528,1059408
1141,70940,Barca,427530,1028863
1142,70968,Botosesti-Paia,554804,1052430
1143,70986,Brabova,425623,1062101
1144,71055,Bradesti,428625,1031556
1145,71126,Bralostita,555899,1055123
1146,71199,Bratovoesti,426718,1064794
1147,71260,Breasta,429720,1034249
1148,71340,Bulzesti,556994,1057816
1149,71457,Calopar,427813,1067487
1150,71518,Caraula,430815,1036942
1151,71536,Carpen,558089,1060509
1152,71572,Castranova,428908,1070180
1153,71607,Calarasi,431910,1039635
1154,71634,Celaru,559184,1063202
1155,71698,Cerat,430003,1072873
1156,71723,Cernatesti,433005,1042328
1157,71787,Cetate,560279,1065895
1158,71812,Cioroiasi,431098,1075566
1159,71858,Ciupercenii Noi,434100,1045021
1160,71885,Cosoveni,561374,1068588
1161,71910,Cotofenii Din Dos,432193,1078259
1162,71956,Daneti,435195,1047714
1163,72007,Oras Dabuleni,562469,1071281
1164,72034,Desa,433288,1080952
1165,72052,Diosti,436290,1050407
1166,72098,Dobresti,563564,1073974
1167,72150,Dragotesti,434383,1083645
1168,72221,Dranic,437385,1053100
1169,72276,Farcas,564659,1076667
1170,72383,Galicea Mare,435478,1086338
1171,72409,Ghercesti,438480,1055793
1172,72463,Gighera,565754,1079360
1173,72506,Giubega,436573,1089031
1174,72533,Giurgita,439575,1058486
1175,72579,Gangiova,566849,1082053
1176,72604,Gogosu,437668,1091724
1177,72640,Goicea,440670,1061179
1178,72677,Goiesti,567944,1084746
1179,72819,Grecesti,438763,1094417
1180,72882,Izvoare,441765,1063872
1181,72926,Leu,569039,1087439
1182,72953,Lipovu,439858,1097110
1183,72980,Macesu De Jos,442860,1066565
1184,73013,Macesu De Sus,570134,1090132
1185,73031,Maglavit,440953,1099803
1186,73068,Malu Mare,443955,1069258
1187,73102,Melinesti,571229,1092825
1188,73246,Mischii,442048,1102496
1189,73317,Marsani,445050,1071951
1190,73335,Motatei,572324,1095518
1191,73371,Murgasi,443143,1105189
1192,73460,Negoi,446145,1074644
1193,73503,Orodel,573419,1098211
1194,73567,Ostroveni,444238,1107882
1195,73594,Perisor,447240,1077337
1196,73629,Pielesti,574514,1100904
1197,73665,Piscu Vechi,445333,1110575
1198,73709,Plenita,448335,1080030
1199,73736,Poiana Mare,575609,1103597
1200,73772,Predesti,446428,1113268
1201,73852,Radovan,449430,1082723
1202,73905,Rast,576704,1106290
1203,73923,Robanesti,447523,1115961
1204,73996,Sadova,450525,1085416
1205,74028,Salcuta,577799,1108983
1206,74073,Scaesti,448618,1118654
1207,74108,Seaca De Camp,451620,1088109
1208,74135,Seaca De Padure,578894,1111676
1209,74171,Secu,449713,1121347
1210,74224,Silistea Crucii,452715,1090802
1211,74242,Sopot,579989,1114369
1212,74322,Teasc,450808,1124040
1213,74359,Terpezita,453810,1093495
1214,74411,Teslui,581084,1117062
1215,74509,Tuglui,451903,1126733
1216,74536,Unirea,454905,1096188
1217,74554,Urzicuta,582179,1119755
1218,74581,Valea Stanciului,452998,1129426
1219,74616,Vela,456000,1098881
1220,74705,Verbita,583274,1122448
1221,74732,Vartop,454093,1132119
1222,74750,Varvoru De Jos,457095,1101574
1223,74842,Catane,584369,1125141
1224,74859,Carcea,455188,1134812
1225,74867,Carna,458190,1104267
1226,74875,Cotofenii Din Fata,585464,1127834
1227,74883,Dobrotesti,456283,1137505
1228,74891,Galiciuica,459285,1106960
1229,74907,Ghidici,586559,1130527
1230,74915,Ghindeni,457378,1140198
1231,74923,Intorsura,460380,1109653
1232,74931,Plesoi,587654,1133220
1233,74949,Rojiste,458473,1142891
1234,74956,Talpas,461475,1112346
1235,75098,Municipiul Galati,588749,1135913
1236,75114,Sendreni,459568,1145584
1237,75150,Vanatori,462570,1115039
1238,75203,Municipiul Tecuci,589844,1138606
1239,75221,Draganesti,460663,1148277
1240,75258,Munteni,463665,1117732
1241,75338,Oras Beresti,590939,1141299
1242,75356,Beresti-Meria,461758,1150970
1243,75472,Oras Targu Bujor,464760,1120425
1244,75515,Barcea,592034,1143992
1245,75542,Balabanesti,462853,1153663
1246,75613,Balasesti,465855,1123118
1247,75668,Baleni,593129,1146685
1248,75686,Baneasa,463948,1156356
1249,75711,Branistea,466950,1125811
1250,75766,Brahasesti,594224,1149378
1251,75819,Buciumeni,465043,1159049
1252,75864,Cavadinesti,468045,1128504
1253,75917,Certesti,595319,1152071
1254,75953,Corod,466138,1161742
1255,76004,Corni,469140,1131197
1256,76040,Cosmesti,596414,1154764
1257,76111,Costache Negri,467233,1164435
1258,76139,Cuca,470235,1133890
1259,76157,Cudalbi,597509,1157457
1260,76175,Draguseni,468328,1167128
1261,76255,Fartanesti,471330,1136583
1262,76282,Foltesti,598604,1160150
1263,76317,Frumusita,469423,1169821
1264,76353,Fundeni,472425,1139276
1265,76406,Ghidigeni,599699,1162843
1266,76497,Gohor,470518,1172514
1267,76558,Grivita,473520,1141969
1268,76585,Independenta,600794,1165536
1269,76601,Ivesti,471613,1175207
1270,76638,Jorasti,474615,1144662
1271,76674,Liesti,601889,1168229
1272,76692,Matca,472708,1177900
1273,76718,Mastacani,475710,1147355
1274,76745,Movileni,602984,1170922
1275,76763,Namoloasa,473803,1180593
1276,76807,Nicoresti,476805,1150048
1277,76932,Oancea,604079,1173615
1278,76969,Pechea,474898,1183286
1279,76996,Piscu,477900,1152741
1280,77028,Priponesti,605174,1176308
1281,77082,Rediu,475993,1185979
1282,77126,Scanteiesti,478995,1155434
1283,77153,Schela,606269,1179001
1284,77180,Slobozia Conachi,477088,1188672
1285,77224,Smardan,480090,1158127
1286,77260,Smulti,607364,1181694
1287,77288,Suceveni,478183,1191365
1288,77313,Tudor Vladimirescu,481185,1160820
1289,77331,Tulucesti,608459,1184387
1290,77377,Tepu,479278,1194058
1291,77402,Umbraresti,482280,1163513
1292,77475,Valea Marului,609554,1187080
1293,77509,Varlezi,480373,1196751
1294,77536,Vladesti,483375,1166206
1295,77561,Radesti,610649,1189773
1296,77579,Negrilesti,481468,1199444
1297,77587,Poiana,484470,1168899
1298,77595,Cuza Voda,611744,1192466
1299,77601,Suhurlui,482563,1202137
1300,77812,Municipiul Targu Jiu,485565,1171592
1301,77910,Balesti,612839,1195159
1302,78016,Dragutesti,483658,1204830
1303,78089,Turcinesti,486660,1174285
1304,78141,Municipiul Motru,613934,1197852
1305,78258,Oras Novaci,484753,1207523
1306,78329,Oras Targu Carbunesti,487755,1176978
1307,78454,Oras Ticleni,615029,1200545
1308,78472,Albeni,485848,1210216
1309,78542,Alimpesti,488850,1179671
1310,78604,Aninoasa,616124,1203238
1311,78668,Arcani,486943,1212909
1312,78711,Baia De Fier,489945,1182364
1313,78748,Balanesti,617219,1205931
1314,78828,Barbatesti,488038,1215602
1315,78873,Bengesti-Ciocadia,491040,1185057
1316,78926,Berlesti,618314,1208624
1317,79004,Balteni,489133,1218295
1318,79077,Bolbosi,492135,1187750
1319,79157,Borascu,619409,1211317
1320,79237,Branesti,490228,1220988
1321,79308,Oras Bumbesti-Jiu,493230,1190443
1322,79362,Bumbesti-Pitic,620504,1214010
1323,79406,Bustuchin,491323,1223681
1324,79497,Capreni,494325,1193136
1325,79585,Catunele,621599,1216703
1326,79656,Ciuperceni,492418,1226374
1327,79736,Calnic,495420,1195829
1328,79834,Crasna,622694,1219396
1329,79932,Cruset,493513,1229067
1330,80043,Danciulesti,496515,1198522
1331,80123,Danesti,623789,1222089
1332,80249,Dragotesti,494608,1231760
1333,80285,Farcasesti,497610,1201215
1334,80365,Glogova,624884,1224782
1335,80427,Godinesti,495703,1234453
1336,80506,Hurezani,498705,1203908
1337,80560,Ionesti,625979,1227475
1338,80613,Jupanesti,496798,1237146
1339,80677,Lelesti,499800,1206601
1340,80711,Licurici,627074,1230168
1341,80766,Logresti,497893,1239839
1342,80846,Matasari,500895,1209294
1343,80908,Musetesti,628169,1232861
1344,80980,Negomir,498988,1242532
1345,81095,Pades,501990,1211987
1346,81184,Pestisani,629264,1235554
1347,81264,Plopsoru,500083,1245225
1348,81380,Polovragi,503085,1214680
1349,81415,Prigoria,630359,1238247
1350,81497,Rosia De Amaradia,501178,1247918
1351,81576,Runcu,504180,1217373
1352,81656,Samarinesti,631454,1240940
1353,81754,Sacelu,502273,1250611
1354,81816,Saulesti,505275,1220066
1355,81861,Scoarta,632549,1243633
1356,81987,Schela,503368,1253304
1357,82047,Slivilesti,506370,1222759
1358,82136,Stanesti,633644,1246326
1359,82243,Stejari,504463,1255997
1360,82314,Stoina,507465,1225452
1361,82396,Telesti,634739,1249019
1362,82430,Oras Tismana,505558,1258690
1363,82555,Turburea,508560,1228145
1364,82617,Oras Turceni,635834,1251712
1365,82680,Tantareni,506653,1261383
1366,82733,Urdari,509655,1230838
1367,82779,Vagiulesti,636929,1254405
1368,82831,Vladimir,507748,1264076
1369,82895,Oras Rovinari,510750,1233531
1370,83133,Municipiul Odorheiu Secuiesc,638024,1257098
1371,83151,Bradesti,508843,1266769
1372,83197,Feliceni,511845,1236224
1373,83320,Municipiul Miercurea Ciuc,639119,1259791
1374,83375,Pauleni-Ciuc,509938,1269462
1375,83428,Oras Baile Tusnad,512940,1238917
1376,83464,Oras Balan,640214,1262484
1377,83491,Oras Borsec,511033,1272155
1378,83525,Oras Cristuru Secuiesc,514035,1241610
1379,83561,Municipiul Gheorgheni,641309,1265177
1380,83632,Municipiul Toplita,512128,1274848
1381,83749,Oras Vlahita,515130,1244303
1382,83785,Atid,642404,1267870
1383,83847,Avramesti,513223,1277541
1384,83936,Bilbor,516225,1246996
1385,83963,Capalnita,643499,1270563
1386,83981,Ciucsangeorgiu,514318,1280234
1387,84086,Ciumani,517320,1249689
1388,84102,Carta,644594,1273256
1389,84148,Corbu,515413,1282927
1390,84175,Corund,518415,1252382
1391,84237,Danesti,645689,1275949
1392,84264,Dealu,516508,1285620
1393,84344,Ditrau,519510,1255075
1394,84380,Darjiu,646784,1278642
1395,84415,Frumoasa,517603,1288313
1396,84460,Galautas,520605,1257768
1397,84558,Joseni,647879,1281335
1398,84594,Lazarea,518698,1291006
1399,84629,Lueta,521700,1260461
1400,84656,Lunca De Jos,648974,1284028
1401,84754,Lunca De Sus,519793,1293699
1402,84825,Lupeni,522795,1263154
1403,84923,Martinis,650069,1286721
1404,85056,Meresti,520888,1296392
1405,85074,Mihaileni,523890,1265847
1406,85127,Mugeni,651164,1289414
1407,85243,Ocland,521983,1299085
1408,85289,Plaiesii De Jos,524985,1268540
1409,85341,Praid,652259,1292107
1410,85412,Remetea,523078,1301778
1411,85467,Sacel,526080,1271233
1412,85528,Sarmas,653354,1294800
1413,85582,Secuieni,524173,1304471
1414,85626,Siculeni,527175,1273926
1415,85680,Sancraieni,654449,1297493
1416,85760,Sandominic,525268,1307164
1417,85788,Sanmartin,528270,1276619
1418,85840,Sansimion,655544,1300186
1419,85877,Subcetate,526363,1309857
1420,85920,Suseni,529365,1279312
1421,85984,Simonesti,656639,1302879
1422,86133,Tulghes,527458,1312550
1423,86188,Tusnad,530460,1282005
1424,86222,Ulies,657734,1305572
1425,86311,Varsag,528553,1315243
1426,86339,Voslabeni,531555,1284698
1427,86366,Zetea,658829,1308265
1428,86438,Madaras,529648,1317936
1429,86446,Cozmeni,532650,1287391
1430,86453,Tomesti,659924,1310958
1431,86461,Ciceu,530743,1320629
1432,86479,Leliceni,533745,1290084
1433,86487,Porumbeni,661019,1313651
1434,86495,Racu,531838,1323322
1435,86501,Satu Mare,534840,1292777
1436,86519,Santimbru,662114,1316344
1437,86687,Municipiul Deva,532933,1326015
1438,86749,Carjiti,535935,1295470
1439,86810,Municipiul Hunedoara,663209,1319037
1440,86883,Ghelari,534028,1328708
1441,86936,Teliucu Inferior,537030,1298163
1442,86990,Municipiul Petrosani,664304,1321730
1443,87059,Municipiul Lupeni,535123,1331401
1444,87077,Oras Petrila,538125,1300856
1445,87139,Oras Uricani,665399,1324423
1446,87175,Municipiul Vulcan,536218,1334094
1447,87219,Oras Aninoasa,539220,1303549
1448,87246,Banita,666494,1327116
1449,87291,Municipiul Brad,537313,1336787
1450,87362,Criscior,540315,1306242
1451,87424,Oras Calan,667589,1329809
1452,87576,Oras Hateg,538408,1339480
1453,87638,Municipiul Orastie,541410,1308935
1454,87665,Oras Simeria,668684,1332502
1455,87745,Baia De Cris,539503,1342173
1456,87843,Balsa,542505,1311628
1457,87996,Baru,669779,1335195
1458,88047,Bacia,540598,1344866
1459,88092,Baita,543600,1314321
1460,88216,Batrana,670874,1337888
1461,88261,Beriu,541693,1347559
1462,88350,Blajeni,544695,1317014
1463,88449,Bosorod,671969,1340581
1464,88546,Branisca,542788,1350252
1465,88644,Bretea Romana,545790,1319707
1466,88788,Buces,673064,1343274
1467,88868,Bucuresci,543883,1352945
1468,88920,Bulzestii De Sus,546885,1322400
1469,89026,Bunila,674159,1345967
1470,89080,Burjuc,544978,1355638
1471,89151,Cerbal,547980,1325093
1472,89240,Certeju De Sus,675254,1348660
1473,89348,Densus,546073,1358331
1474,89428,Dobra,549075,1327786
1475,89561,Oras Geoagiu,676349,1351353
1476,89687,Gurasada,547168,1361024
1477,89801,Harau,550170,1330479
1478,89856,Ilia,677444,1354046
1479,89954,Lapugiu De Jos,548263,1363717
1480,90066,Lelese,551265,1333172
1481,90119,Lunca Cernii De Jos,678539,1356739
1482,90208,Luncoiu De Jos,549358,1366410
1483,90262,Martinesti,552360,1335865
1484,90342,Orastioara De Sus,679634,1359432
1485,90431,Pestisu Mic,550453,1369103
1486,90538,Pui,553455,1338558
1487,90663,Rapoltu Mare,680729,1362125
1488,90725,Rachitova,551548,1371796
1489,90805,Ribita,554550,1341251
1490,90878,Rau De Mori,681824,1364818
1491,90994,Romos,552643,1374489
1492,91054,Sarmizegetusa,555645,1343944
1493,91116,Salasu De Sus,682919,1367511
1494,91232,Santamaria-Orlea,553738,1377182
1495,91330,Soimus,556740,1346637
1496,91447,Tomesti,684014,1370204
1497,91535,Toplita,554833,1379875
1498,91624,Totesti,557835,1349330
1499,91688,Turdas,685109,1372897
1500,91731,General Berthelot,555928,1382568
1501,91795,Vata De Jos,558930,1352023
1502,91937,Valisoara,686204,1375590
1503,91982,Vetel,557023,1385261
1504,92097,Vorta,560025,1354716
1505,92177,Zam,687299,1378283
1506,92569,Municipiul Calarasi,558118,1387954
1507,92587,Modelu,561120,1357409
1508,92658,Municipiul Slobozia,688394,1380976
1509,92701,Municipiul Fetesti,559213,1390647
1510,92765,Oras Tandarei,562215,1360102
1511,92783,Albesti,689489,1383669
1512,92836,Oras Amara,560308,1393340
1513,92872,Andrasesti,563310,1362795
1514,92907,Balaciu,690584,1386362
1515,92961,Borcea,561403,1396033
1516,92989,Bordusani,564405,1365488
1517,93021,Bucu,691679,1389055
1518,93067,Oras Cazanesti,562498,1398726
1519,93085,Ciocanesti,565500,1368181
1520,93101,Ciochina,692774,1391748
1521,93156,Ciulnita,563593,1401419
1522,93209,Cocora,566595,1370874
1523,93236,Cosambesti,693869,1394441
1524,93281,Cuza Voda,564688,1404112
1525,93325,Dichiseni,567690,1373567
1526,93370,Dor Marunt,694964,1397134
1527,93441,Dorobantu,565783,1406805
1528,93487,Dragalina,568785,1376260
1529,93539,Dragos Voda,696059,1399827
1530,93575,Facaeni,566878,1409498
1531,93600,Gheorghe Doja,569880,1378953
